primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,time,url,filename
akiapo,"['apapan', 'hawama', 'iiwi']",['song'],19.6294,-155.3615,Hemignathus wilsoni,Akiapolaau,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,12:31,https://www.xeno-canto.org/122399,akiapo/XC122399_source0_.wav
akiapo,"['apapan', 'iiwi', 'warwhe1']",['call'],19.6294,-155.3615,Hemignathus wilsoni,Akiapolaau,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,17:46,https://www.xeno-canto.org/122401,akiapo/XC122401_source0_.wav
akiapo,['apapan'],['song'],19.6642,-155.3896,Hemignathus wilsoni,Akiapolaau,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,16:22,https://www.xeno-canto.org/122693,akiapo/XC122693_source0_.wav
akiapo,"['apapan', 'elepai', 'hawama', 'iiwi', 'omao', 'warwhe1']",['call'],19.6642,-155.3896,Hemignathus wilsoni,Akiapolaau,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,15:58,https://www.xeno-canto.org/124705,akiapo/XC124705_source0_.wav
akiapo,"['apapan', 'hawama', 'iiwi', 'omao', 'warwhe1']",['song'],19.6334,-155.3753,Hemignathus wilsoni,Akiapolaau,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,2.5,14:43,https://www.xeno-canto.org/124801,akiapo/XC124801_source0_.wav
akiapo,"['apapan', 'hawama', 'iiwi']",['song'],19.7937,-155.3243,Hemignathus wilsoni,Akiapolaau,Eric VanderWerf,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,15:00,https://www.xeno-canto.org/144826,akiapo/XC144826_source0_.wav
akiapo,"['akepa1', 'apapan', 'hawcre', 'omao', 'warwhe1']","['begging call', 'mechanical tapping']",19.5866,-155.3402,Hemignathus wilsoni,Akiapolaau,Brooks Rownd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,16:56,https://www.xeno-canto.org/147003,akiapo/XC147003_source0_.wav
akiapo,"['hawama', 'iiwi']",['call'],19.6759,-155.3845,Hemignathus wilsoni,Akiapolaau,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,13:30,https://www.xeno-canto.org/27374,akiapo/XC27374_source0_.wav
akiapo,['iiwi'],"['call', 'song']",19.6759,-155.3845,Hemignathus wilsoni,Akiapolaau,Daniel Lane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,2.5,14:00,https://www.xeno-canto.org/27376,akiapo/XC27376_source1_.wav
akiapo,['hawama'],['alarm call'],19.6759,-155.3845,Hemignathus wilsoni,Akiapolaau,Ulf Elman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,11:05,https://www.xeno-canto.org/385387,akiapo/XC385387_source0_.wav
